file,hunks,already,portable,partial,manual,noise,status,added,removed
include/linux/trace_seq.h,2,0,2,0,0,0,FULLY_PORTABLE,2,2
include/media/v4l2-subdev.h,2,0,2,0,0,0,FULLY_PORTABLE,0,4
include/uapi/linux/eventpoll.h,2,0,2,0,0,0,FULLY_PORTABLE,2,0
include/uapi/linux/usb/g_uvc.h,2,0,2,0,0,0,FULLY_PORTABLE,4,0
kernel/sched/Makefile,2,0,2,0,0,0,FULLY_PORTABLE,12,0
lib/debug_locks.c,2,0,2,0,0,0,FULLY_PORTABLE,8,0
lib/plist.c,2,0,2,0,0,0,FULLY_PORTABLE,2,0
net/core/Makefile,2,0,2,0,0,0,FULLY_PORTABLE,3,0
net/ipv4/ipmr.c,2,0,2,0,0,0,FULLY_PORTABLE,4,4
net/ipv6/ip6mr.c,2,0,2,0,0,0,FULLY_PORTABLE,4,4
net/mac802154/tx.c,2,0,2,0,0,0,FULLY_PORTABLE,4,4
net/sched/sch_mq.c,2,0,2,0,0,0,FULLY_PORTABLE,0,24
net/sched/sch_mqprio.c,2,0,2,0,0,0,FULLY_PORTABLE,0,23
net/sctp/bind_addr.c,2,0,2,0,0,0,FULLY_PORTABLE,8,11
security/selinux/nlmsgtab.c,2,0,2,0,0,0,FULLY_PORTABLE,41,1
.gitignore,1,0,1,0,0,0,FULLY_PORTABLE,5,0
Documentation/ABI/testing/sysfs-kernel-slab,1,0,1,0,0,0,FULLY_PORTABLE,9,0
Documentation/translations/zh_CN/sparse.txt,1,0,1,0,0,0,FULLY_PORTABLE,1,1
arch/arm64/boot/dts/mediatek/mt6755-evb.dts,1,0,1,0,0,0,FULLY_PORTABLE,1,1
arch/arm64/boot/dts/mediatek/mt6795-evb.dts,1,0,1,0,0,0,FULLY_PORTABLE,1,1
arch/arm64/boot/dts/mediatek/mt6797-evb.dts,1,0,1,0,0,0,FULLY_PORTABLE,1,1
arch/arm64/boot/dts/mediatek/mt6797-x20-dev.dts,1,0,1,0,0,0,FULLY_PORTABLE,1,1
arch/arm64/include/asm/cpu.h,1,0,1,0,0,0,FULLY_PORTABLE,1,1
arch/arm64/include/uapi/asm/setup.h,1,0,1,0,0,0,FULLY_PORTABLE,1,1
arch/arm64/kernel/efi.c,1,0,1,0,0,0,FULLY_PORTABLE,28,0
arch/arm64/kernel/vdso/vdso.lds.S,1,0,1,0,0,0,FULLY_PORTABLE,1,0
arch/arm64/mm/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,1,0
crypto/lz4.c,1,0,1,0,0,0,FULLY_PORTABLE,7,1
crypto/lz4hc.c,1,0,1,0,0,0,FULLY_PORTABLE,7,1
crypto/zstd.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/base/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,3,0
